iter	Logloss
0	0.6765364031
1	0.662359481
2	0.6473202803
3	0.6324088642
4	0.6196322971
5	0.607922087
6	0.598541197
7	0.5873620932
8	0.5795272388
9	0.569816244
10	0.5609419709
11	0.5513304408
12	0.5409739302
13	0.5334993841
14	0.5247547479
15	0.5168535837
16	0.5096899276
17	0.5044436985
18	0.4979487918
19	0.4919649917
20	0.4867051992
21	0.4814113099
22	0.4763123312
23	0.4714019524
24	0.4662873068
25	0.461651335
26	0.4563653263
27	0.4518846739
28	0.4479445469
29	0.4439184558
30	0.4407523512
31	0.437558335
32	0.4338844205
33	0.4305830904
34	0.4273922139
35	0.4242326713
36	0.4212729058
37	0.4168788769
38	0.4138760665
39	0.4108969292
40	0.4080056398
41	0.4051124981
42	0.4029398789
43	0.4005003878
44	0.3976841051
45	0.395473025
46	0.3932616936
47	0.3909730951
48	0.3888224535
49	0.3863096512
50	0.3838228767
51	0.3824688319
52	0.3800095923
53	0.3783072012
54	0.3764131648
55	0.3744101819
56	0.3728484793
57	0.3706688901
58	0.3689611929
59	0.3668999692
60	0.3651330893
61	0.3633770413
62	0.3618227484
63	0.3597969087
64	0.3581861331
65	0.3564255012
66	0.3550561348
67	0.3540072343
68	0.3523212951
69	0.3505127832
70	0.3491072164
71	0.3473923295
72	0.3458786325
73	0.3445675383
74	0.3431604958
75	0.3418225575
76	0.3403659711
77	0.3391270893
78	0.3377649755
79	0.3368979874
80	0.3351225048
81	0.3338252566
82	0.3321938848
83	0.3309193678
84	0.3295611158
85	0.3281339795
86	0.3272713555
87	0.326417868
88	0.3252929562
89	0.324166035
90	0.3227801539
91	0.3215625276
92	0.3202591884
93	0.3195008643
94	0.31848672
95	0.3169885329
96	0.3156001087
97	0.3145942217
98	0.3135901871
99	0.3127036075
100	0.3117356791
101	0.3107458044
102	0.3094805808
103	0.307902709
104	0.3064844579
105	0.3050193316
106	0.3034981936
107	0.3022232056
108	0.3014874242
109	0.3004684134
110	0.2991001459
111	0.2985066857
112	0.2980503977
113	0.2967480946
114	0.2959651869
115	0.2942024514
116	0.2930783244
117	0.2921005061
118	0.2909632867
119	0.2903794654
120	0.288955971
121	0.2880978682
122	0.2862729045
123	0.2850581668
124	0.2842213509
125	0.2833694646
126	0.2825203099
127	0.2814061671
128	0.2809590155
129	0.2798347944
130	0.2790838799
131	0.2779163
132	0.2772503763
133	0.2760681027
134	0.275375115
135	0.2746282507
136	0.2738178394
137	0.2728674618
138	0.2716061313
139	0.2706078109
140	0.2700503628
141	0.2691649135
142	0.2681715224
143	0.2676097729
144	0.2661899834
145	0.2653033096
146	0.2646192072
147	0.2640221992
148	0.2630403307
149	0.2624340293
150	0.2615982024
151	0.2601784914
152	0.25884217
153	0.2581290414
154	0.2569200492
155	0.2556656888
156	0.255091883
157	0.2541346295
158	0.2539806601
159	0.2531221335
160	0.252596082
161	0.2516078713
