iter	Passed	Remaining
0	5	2385
1	10	2304
2	16	2315
3	21	2290
4	27	2311
5	33	2370
6	38	2363
7	44	2348
8	49	2340
9	55	2324
10	60	2326
11	66	2315
12	71	2296
13	76	2281
14	81	2274
15	86	2260
16	92	2256
17	97	2248
18	102	2233
19	108	2228
20	113	2227
21	119	2219
22	124	2209
23	129	2197
24	134	2185
25	139	2180
26	144	2173
27	150	2164
28	156	2178
29	162	2181
30	168	2181
31	174	2177
32	179	2173
33	185	2170
34	191	2170
35	197	2167
36	202	2165
37	208	2161
38	213	2155
39	219	2150
40	225	2147
41	231	2145
42	237	2147
43	243	2144
44	248	2139
45	254	2135
46	260	2132
47	266	2128
48	271	2125
49	277	2121
50	283	2116
51	288	2109
52	294	2103
53	299	2098
54	305	2092
55	310	2086
56	316	2080
57	321	2076
58	327	2071
59	332	2064
60	338	2060
61	344	2055
62	349	2049
63	355	2043
64	361	2038
65	366	2033
66	372	2027
67	377	2020
68	382	2014
69	388	2011
70	394	2006
71	400	2000
72	405	1994
73	411	1988
74	416	1982
75	422	1977
76	427	1971
77	433	1965
78	438	1959
79	444	1953
80	449	1948
81	454	1941
82	460	1936
83	466	1930
84	471	1924
85	476	1918
86	482	1911
87	487	1905
88	492	1899
89	498	1894
90	504	1888
91	509	1883
92	515	1877
93	520	1872
94	526	1868
95	532	1864
96	538	1859
97	544	1856
98	550	1851
99	555	1845
100	561	1839
101	566	1833
102	572	1827
103	577	1821
104	583	1816
105	588	1810
106	594	1804
107	599	1798
108	605	1793
109	610	1788
110	616	1783
111	622	1777
112	627	1772
113	633	1767
114	639	1761
115	644	1755
116	650	1750
117	655	1744
118	661	1738
119	666	1733
120	672	1727
121	677	1721
122	683	1716
123	688	1710
124	694	1704
125	699	1699
126	704	1693
127	710	1687
128	712	1674
129	718	1669
130	724	1664
131	730	1659
132	736	1654
133	741	1649
134	747	1643
135	753	1639
136	758	1633
137	764	1628
138	770	1623
139	775	1618
140	781	1613
141	787	1608
142	792	1602
143	798	1597
144	804	1591
145	809	1586
146	815	1580
147	820	1575
148	826	1570
149	832	1564
150	837	1559
151	843	1553
152	849	1548
153	854	1542
154	860	1537
155	865	1531
156	871	1525
157	876	1520
158	878	1507
159	883	1502
160	889	1496
161	894	1491
162	900	1486
163	906	1480
164	911	1475
165	917	1470
166	923	1465
167	929	1460
168	935	1455
169	941	1450
170	946	1445
171	952	1439
172	958	1434
173	963	1428
174	969	1424
175	975	1418
176	981	1413
177	987	1408
178	992	1403
179	998	1398
180	1004	1393
181	1010	1388
182	1016	1383
183	1022	1378
184	1027	1372
185	1033	1366
186	1038	1361
187	1044	1355
188	1050	1350
189	1055	1344
190	1060	1338
191	1066	1332
192	1071	1327
193	1077	1321
194	1082	1315
195	1088	1310
196	1093	1304
197	1098	1298
198	1104	1292
199	1109	1287
200	1115	1281
201	1120	1275
202	1125	1270
203	1131	1264
204	1136	1258
205	1141	1252
206	1147	1246
207	1152	1241
208	1158	1236
209	1164	1230
210	1169	1225
211	1175	1219
212	1180	1213
213	1185	1208
214	1191	1202
215	1197	1197
216	1202	1191
217	1208	1186
218	1213	1180
219	1219	1175
220	1224	1169
221	1230	1163
222	1236	1158
223	1242	1153
224	1247	1147
225	1252	1142
226	1258	1136
227	1264	1130
228	1269	1125
229	1274	1119
230	1280	1114
231	1286	1108
232	1291	1103
233	1297	1097
234	1302	1092
235	1308	1086
236	1314	1081
237	1320	1076
238	1326	1070
239	1331	1065
240	1337	1059
241	1342	1054
242	1347	1048
243	1353	1042
244	1358	1037
245	1365	1032
246	1370	1026
247	1375	1020
248	1381	1015
249	1386	1009
250	1391	1003
251	1397	998
252	1402	992
253	1408	986
254	1413	981
255	1419	975
256	1424	969
257	1429	964
258	1435	958
259	1441	953
260	1446	947
261	1451	942
262	1457	936
263	1462	930
264	1468	925
265	1473	919
266	1479	914
267	1484	908
268	1490	902
269	1495	897
270	1501	891
271	1506	886
272	1512	880
273	1517	875
274	1523	869
275	1529	864
276	1534	858
277	1540	853
278	1545	847
279	1550	841
280	1556	836
281	1561	830
282	1567	825
283	1572	819
284	1578	814
285	1584	808
286	1589	803
287	1595	797
288	1600	792
289	1606	786
290	1611	780
291	1617	775
292	1622	769
293	1628	764
294	1633	758
295	1638	753
296	1644	747
297	1649	741
298	1655	736
299	1660	730
300	1666	725
301	1671	719
302	1677	714
303	1684	709
304	1690	703
305	1695	698
306	1701	692
307	1706	687
308	1712	681
309	1718	676
310	1723	670
311	1729	665
312	1734	659
313	1739	653
314	1745	648
315	1750	642
316	1756	637
317	1761	631
318	1767	625
319	1772	620
320	1778	614
321	1783	609
322	1789	603
323	1794	598
324	1800	592
325	1806	587
326	1811	581
327	1817	576
328	1823	570
329	1828	565
330	1834	559
331	1839	554
332	1845	548
333	1851	543
334	1856	537
335	1862	532
336	1867	526
337	1872	520
338	1878	515
339	1883	509
340	1888	504
341	1894	498
342	1900	493
343	1905	487
344	1911	481
345	1918	476
346	1924	471
347	1931	466
348	1937	460
349	1942	455
350	1948	449
351	1954	444
352	1959	438
353	1965	432
354	1970	427
355	1975	421
356	1981	416
357	1986	410
358	1991	405
359	1997	399
360	2002	393
361	2007	388
362	2013	382
363	2018	377
364	2024	371
365	2029	365
366	2034	360
367	2039	354
368	2045	349
369	2050	343
370	2056	338
371	2061	332
372	2066	326
373	2072	321
374	2077	315
375	2083	310
376	2088	304
377	2094	299
378	2099	293
379	2105	288
380	2110	282
381	2116	276
382	2121	271
383	2126	265
384	2132	260
385	2137	254
386	2143	249
387	2148	243
388	2154	238
389	2159	232
390	2165	227
391	2170	221
392	2175	215
393	2181	210
394	2186	204
395	2192	199
396	2197	193
397	2203	188
398	2208	182
399	2214	177
400	2219	171
401	2224	166
402	2230	160
403	2235	154
404	2241	149
405	2246	143
406	2251	138
407	2257	132
408	2262	127
409	2268	121
410	2273	116
411	2278	110
412	2284	105
413	2289	99
414	2294	93
415	2300	88
416	2305	82
417	2311	77
418	2316	71
419	2321	66
420	2327	60
421	2332	55
422	2338	49
423	2344	44
424	2349	38
425	2355	33
426	2361	27
427	2366	22
428	2371	16
429	2377	11
430	2382	5
431	2388	0
